#   Enu		   cross-section
   3.66093993       9.76170254    
   3.67732000       9.89940453    
   3.69369984       10.0379448    
   3.71007991       10.1773005    
   3.72645998       10.3178759    
   3.74283981       10.4591455    
   3.75921965       10.6012325    
   3.77559996       10.7444181    
   3.79197979       10.8884163    
   3.80835986       11.0336332    
   3.82473969       11.1793995    
   3.84111977       11.3261414    
   3.85749984       11.4738140    
   3.87387991       11.6225653    
   3.89025998       11.7721443    
   3.90663981       11.9225531    
   3.92301965       12.0741634    
   3.93939996       12.2263327    
   3.95577979       12.3795786    
   3.97215986       12.5337744    
   3.98853970       12.6887779    
   4.00492001       12.8448744    
   4.02129984       13.0017757    
   4.03767967       13.1594992    
   4.05405998       13.3181572    
   4.07043982       13.4779024    
   4.08681965       13.6384544    
   4.10319996       13.7998257    
   4.11957979       13.9622717    
   4.13595963       14.1253910    
   4.15233994       14.2897329    
   4.16872025       14.4545946    
   4.18509960       14.6206770    
   4.20147991       14.7877083    
   4.21785975       14.9556866    
   4.23423958       15.1241798    
   4.25061989       15.2938929    
   4.26699972       15.4644222    
   4.28337955       15.6357517    
   4.29975986       15.8083010    
   4.31614017       15.9815073    
   4.33251953       16.1556377    
   4.34889984       16.3308830    
   4.36527967       16.5067635    
   4.38165951       16.6837254    
   4.39803982       16.8614883    
   4.41442013       17.0403252    
   4.43079948       17.2198219    
   4.44717979       17.4002552    
   4.46356010       17.5817833    
   4.47993994       17.7640762    
   4.49631977       17.9473267    
   4.51270008       18.1315136    
   4.52907944       18.3164902    
   4.54545975       18.5025330    
   4.56184006       18.6893826    
   4.57821989       18.8770142    
   4.59459972       19.0655804    
   4.61098003       19.2552147    
   4.62735987       19.4456615    
   4.64373970       19.6370296    
   4.66012001       19.8291893    
   4.67649937       20.0224266    
   4.69287968       20.2163010    
   4.70925999       20.4112549    
   4.72563982       20.6072769    
   4.74201965       20.8039455    
   4.75839996       21.0015602    
   4.77477980       21.2000751    
   4.79115963       21.3994026    
   4.80753994       21.5999336    
   4.82391977       21.8009453    
   4.84029961       22.0032024    
   4.85667992       22.2062321    
   4.87305975       22.4100380    
   4.88943958       22.6149273    
   4.90581989       22.8205891    
   4.92220020       23.0271740    
   4.93857956       23.2345409    
   4.95495987       23.4431419    
   4.97133970       23.6522236    
   4.98771954       23.8623714    
   5.00409985       24.0734253    
   5.02047968       24.2854176    
   5.03685951       24.4981880    
   5.05323982       24.7118969    
   5.06962013       24.9266586    
   5.08599949       25.1420555    
   5.10237980       25.3583698    
   5.11875963       25.5757599    
   5.13513994       25.7939167    
   5.15151978       26.0131550    
   5.16790009       26.2328625    
   5.18427944       26.4539280    
   5.20065975       26.6753159    
   5.21704006       26.8980923    
   5.23341990       27.1216278    
   5.24979973       27.3460846    
   5.26618004       27.5711555    
   5.28255987       27.7974510    
   5.29893970       28.0243549    
   5.31532001       28.2526474    
   5.33169937       28.4812393    
   5.34807968       28.7110386    
   5.36445999       28.9413185    
   5.38083982       29.1729565    
   5.39721966       29.4053841    
   5.41359997       29.6385670    
   5.42997932       29.8727932    
   5.44635963       30.1074963    
   5.46273994       30.3432713    
   5.47911978       30.5804100    
   5.49549961       30.8180141    
   5.51187992       31.0566635    
   5.52825975       31.2957821    
   5.54463959       31.5359764    
   5.56101990       31.7772045    
   5.57739973       32.0192299    
   5.59377956       32.2619972    
   5.61015987       32.5061226    
   5.62653971       32.7507324    
   5.64291954       32.9960823    
   5.65929985       33.2427864    
   5.67567968       33.4899559    
   5.69205952       33.7378883    
   5.70843983       33.9871674    
   5.72481966       34.2369041    
   5.74119949       34.4877167    
   5.75757980       34.7395706    
   5.77395964       34.9922066    
   5.79033947       35.2455902    
   5.80671978       35.5000000    
   5.82309961       35.7552032    
   5.83947945       36.0111465    
   5.85585976       36.2681236    
   5.87223959       36.5258789    
   5.88861990       36.7843857    
   5.90499973       37.0439568    
   5.92138004       37.3045654    
   5.93775988       37.5656166    
   5.95413971       37.8280411    
   5.97052002       38.0906219    
   5.98689985       38.3548508    
   6.00327969       38.6195221    
   6.01965952       38.8849335    
   6.03603935       39.1517220    
   6.05241966       39.4189415    
   6.06879997       39.6872253    
   6.08517981       39.9565544    
   6.10155964       40.2263298    
   6.11793995       40.4971504    
   6.13431978       40.7690125    
   6.15069962       41.0416565    
   6.16707945       41.3146896    
   6.18345976       41.5891342    
   6.19983959       41.8642693    
   6.21621990       42.1405182    
   6.23259974       42.4171562    
   6.24898005       42.6948586    
   6.26535988       42.9733009    
   6.28173971       43.2530861    
   6.29811954       43.5336571    
   6.31449986       43.8146248    
   6.33087969       44.0966530    
   6.34725952       44.3797073    
   6.36363935       44.6632080    
   6.38001966       44.9480972    
   6.39639997       45.2339935    
   6.41277981       45.5200119    
   6.42915964       45.8074226    
   6.44553947       46.0952263    
   6.46191978       46.3840942    
   6.47829962       46.6736755    
   6.49467945       46.9649544    
   6.51105928       47.2560043    
   6.52744007       47.5490608    
   6.54381990       47.8418961    
   6.56019974       48.1361084    
   6.57657957       48.4310684    
   6.59295988       48.7267342    
   6.60933971       49.0237579    
   6.62571955       49.3212128    
   6.64209938       49.6193962    
   6.65847969       49.9186058    
   6.67486000       50.2185822    
   6.69123983       50.5198936    
   6.70761967       50.8216133    
   6.72399950       51.1240768    
   6.74037981       51.4275780    
   6.75675964       51.7321205    
   6.77313948       52.0370598    
   6.78951931       52.3434029    
   6.80589962       52.6501236    
   6.82227993       52.9579086    
   6.83865976       53.2666931    
   6.85503960       53.5762482    
   6.87141991       53.8865089    
   6.88779974       54.1977882    
   6.90417957       54.5095406    
   6.92055941       54.8225708    
   6.93693972       55.1360550    
   6.95331955       55.4508934    
